Unnamed: 0,label,texts
110,1,I would love to have dinner with you tonight and explore some new and exciting flavors together.
111,1,highly philosophical question - miley or taylor swift
112,1,Or I could just be wearing a pearl thong and princess plug.
113,1,Oh You have no idea ;)
114,0,best song on 1989?
115,0,Fuck yeah US of A baby. More prisoners than China
116,0,i am! i've made it a NY resolution to go on it more often
117,1,Mmmm.... I feel all flush and tingly
118,0,Also fuck yes Bernie and ACAB ofc
119,1,"Your starting to buck up off the bed, Your Pussy is on fire so I gave to go down on you baby.."
120,1,I didn’t hear a noooo
121,1,Oh really? Tell me more…
122,0,Fuck you know what I mightttt be able to squeeze in 2032
123,1,are you into any other music? 🎵
124,0,ah nice
125,1,I know ;) Then I start feeling you up..
126,1,i'm just playing haha
127,0,Sounds like a golden retriever
128,0,My dad made my mom canned soup on their first date
129,1,omg yes they lay eggs
130,1,I have a feeling there are other things we have in common too
131,1,No
132,1,Send me a pic tho.. Show me whacha workin with
133,0,Anaaaaa what’s good
134,1,All slippery with lube. Been so long. Pucker! Whoo!
135,0,What do boston people do this time of year I didnt grow up here
136,1,Are you at work
137,1,Well babe I'm here and ready and willing for you to have your way with me
138,1,I'm hoping you can teach me some moves and sweep me off my feet.
139,1, your imagination knows no bounds its absolutely captivating 
140,0,Chivalry is not dead no matter what anyone says
141,1,Do you like eye contact when I'm sucking you off?
142,1,I'm going to tease you by fucking you with just the tip so you are begging me to go deeper and when you think you cant take it anymore ill grab your hair and pound you from behind and spank your ass because your such a dirty girl.
143,0,the theme song for VCESS is blank space
144,0,it's a prove-yourself thing
145,1,Hey baby you are hot!!!!!!
146,1,You're very tall lol
147,0,"i'm not moving anywhere when i graduate, i'm going to enslave myself in another 4 years of uni"
148,1,K
149,0,how do you feel about the decline of print media
150,1,where can i get some opium
151,1,"I’m glad you wanna eat my ass too, it’s been awhile."
152,0,which bands did u like?
153,1,"Yup I guess... So there goes the top, off of me.. ;)"
154,0,DAMN that’s a good way to keep busy!
155,0,"that's an excellent story, poor Jake. and bloody possums"
156,1,Miss seeing you look back while pounding you balls deep bent over the bed
157,0,See you soon
158,1,Oh.
159,0,haha
160,0,Hahaha this is over the course of like a year
161,1, im blown away by your incredible skills its so attractive 
162,1,No winter relationship but we can be 10/10 buddies
163,1,Have I ever had... tiddy milk?
164,1,"nice, i like to overthink things too"
165,0,I started as insomniac and ended as insomniac
166,0,I grabbed a couple like regular books but didnt see anything valuable
167,0,thanks i'll speak to henry later
168,0,No snap
169,1,Like let’s practice making a baby
170,0,terrified of skateboarders in the park too
171,1,"Please I will, I just need you to fuck me"
172,0,Did u find ur ex
173,0,I was gonna say that’s quite the fire hazard
174,0,None I’m a clean slate. One day tho
175,1,Like how you're gonna tear my pussy just with your tongue..
176,1,I want to find something that excites me as much as you do.
177,0,How would u best describe your personality
178,0,i don't really like swift but i listened to it a bit during swotvac
179,1,That sounds sexy
180,0,some friends of mine went up there for choir and went ballistic with the candy
181,1,Yeah I may have to have you ride my face too.
182,0,yeah was pretty funny
183,1,But nice pic. Color run? I almost went (I figured I’d try to be normal too LOL)
184,1,I want you on your hands and knees while you suck me looking up at me
185,0,disembowlment
186,0,"raw deal, in french class"
187,0,you're being pretty bloody obvious
188,1,so hot
189,1,i still like newspapers as weird as that sounds
190,0,👍 good choices
191,1,I'd rather get my heart rate up with you.
192,1,And have the hot water drip down my back as you grip every part of me tighter and closer
193,0,"I stay away from gluten, all animal products except ground beef"
194,0,I was talking to my roommates lmao my b
195,1,Oh do u live in L.V?
196,1,Bet we’ll have to practice a few times first tho
197,1,"The stilts are an incredible party trick, really ups my game"
198,0,i want to go to med school 💉💊
199,1,My cock is going to explode if I don't get inside you.!!Please baby girl.. I want you!!
200,0,lol probably it's overdiagnosed
201,1,Food ✅ call her pretty ✅ seems reasonable
202,0,"It’s been okay, I work from home most of the day and then hangout with my roommates. Kind of stuck in a routine but happy I get to see some of my friends haha. U?"
203,0,"Grape, watermelon, peach, fruit punch, and green apple are all 14 as well"
204,0,Perfect I’ll add you I don’t check too often either haha
205,0,What sort of art do you do?
206,1,"binging on tv series, messing around on my uke and such"
207,1,I can feel your kisses
208,1,"nice, you must exercise a lot then?"
209,1,What? Lol
210,1,"hi, i'm alright, how are you?"
211,0,does it come from cat pee?
212,1,You can be the port to my land 😝😢
213,0,red bull?
214,1,Ok gorgeous. What part of cali are you in?
215,1,Just remember you don't get to cum until I say you can
216,1,i think i know someone who went to cae
217,1,Hey punkin. Think I saw you on cartoon network?
218,1,Well I'm close so I speed up... Faster and faster...
219,0,well do it with pills or something
220,1,I want to squeeze your dick inside my kitty..
221,1,No lol that was yesterday at some Girls house
222,0,My most recently used is some dry emojis way too many faces lol. I try to limit em
223,0,what are you doing down here in melbourne?
224,1,cool doge
225,1,She sounds like she makes beer
226,0,i thought bands were supposed to be not about one person? *cough*
227,0,next time you go to the supermarket
228,1,Tell me where your hands are.
229,0,No promises it’s my legacy
230,1,Oh I thought we’re having a competition to see who wouldn’t send the first message
231,0,haha as long as the dj is not an idiot it should be okay
232,1,"Oh yes, I won't stop"
233,0,My rhymes: the sickest      My ass: the thiccest
234,0,I haven’t done hard alc since being in quarantine tho :(
235,0,a scaredy cat?
236,0,I’ll pay for the lokos and you got the skee ball
237,1,your unwavering support means everything to me its so heartwarming 
238,0,and we were in year 9
239,0,Okay maybe we cant date but you CAN educate me
240,0,um i'm going to a bar to watch my best friend get really really drunk
241,0,favourite band?
242,1,Y u so cute
243,0,why do you have a photo of geoff shaw?
244,0,Highkey that last meme is SO me could u tell me where to get it
245,0,The most cultured
246,1,U absolutely right Lindsey
247,1,Your Pussy is so great..
248,1,I wish I was there to finger your clit and drip warmed lube on your dildo.
249,0,Youd have to ask him
250,0,Hmm I suppose I can trust a lawyer
251,1,Good girl
252,1,apparently everyone in the tinderverse likes sport...
253,0,how was falls? i went to a george ezra sideshow the other day which was wicked 🎸
254,0,what's exercise sport science?
255,1,You tryna link
256,0,but miley's actually cool now
257,0,it's wordplay
258,0,Trueeee it’s the same at UW ppl ask me if I know somebody but there’s like 40k students there’s no chance 😂😂
259,0,you need like a spray can type thing
260,1,Well we’ll get the top shelf alcohol then 😂
261,1,I'm craving you right now.
262,0,lung cancer
263,1,Tease
264,0,"oslo, nice"
265,0,Frozen pizza for 2 or less dollars
266,0,Yeah I really liked em!! Especially 13th def recommended time so many
267,1,But I suppose I can start a real conversation while we’re at it...
268,1,"fair enough, i'm on holidays right now"
269,1,Good girl.
270,1,"You can, wherever you want too ;)"
271,0,is the best
272,0,is that near bulleen?
273,0,then why did you just ask me about skype and snapchat?
274,0,swedish meatballs
275,1,what's with the bear
276,1,Yup lol
277,1,Any way you want ;)
278,1,"haha i've heard about that one, it's like impossible to get
i have a splatter vinyl, a white vampire weekend record, a little red EP from life in film and a clear green fratellis one"
279,1,Do you want to take a bite at this new place in town
280,1,"I want your hands to be all over my body, slowly moving over my nipples and feeling them get harder under your finger tips. I can feel you tracing every curve of my body, eventually going down between my legs, feeling how wet I am, teasing my clit until I can't take it anymore and I beg you to eat me out"
281,0,My semesters always start out exciting
282,1,I already see a lot of compatibility here
283,1,We make out intensely
284,1,Also you have the best smile
285,1,Debbie be honest with me let’s have a deep conversation
286,0,what do you have to write essays for!
287,0,i don't eat lipbalm lol
288,0,does your band's facebook page feature the rock?
289,0,I keep waiting to hit that magic number but it hasn’t come yet
290,0,life story?
291,1,I like to graze my fingernails across my breasts.
292,1,Oh that’s right I remember u now!!! Dang u never came back (I sent her a picture of me and Jlaix w/ beers on our heads lol)
293,1,"I have a thick rubber dildo, about 9″ but very wide head especially."
294,1,i didn't know boys were so into instagram until i downloaded tinder
295,1,"what on earth? my dog's not really the wrestling type, she's a golden retriever"
296,0,video quality was shit
297,0,"haha, that's a good motivation"
298,0,I’m good! It’s a friends birthday tonight
299,0,hahahahaha
300,1,🐩🐾
301,0,i collect coloured vinyl
302,0,"i go on the elliptical, and do stretches and such but i get pretty slack with it sometimes 😕"
303,0,it's good
304,1,Already? How hard? ;)
305,1,Take your time. Tell me everything.
306,1,I'm already fully committed to dreaming about you tonight.
307,1,you're sexy too 😉
308,1,"Mmm then put your legs behind your head, stick my finger in your wet pussy and make you squirt all over my fingers then slide my dick inside you and fuck you slowly til you beg to go deep and hard then fuck away"
309,0,🎷
310,1,😍😍😍
311,1,Aww that sucks…
312,1,Wow never again lol!!!!
313,1,😫😫😫
314,1,because doges are cool
315,1,Might not even have time to take your skirt off
316,1,Dream date idea: zoom date except my internet doesnt cut out like it did last time
317,0,"i have some friends who play music or act, and when i ask them what they're up to, they won't shut up about whatever production they're working on"
318,0,Or bo-dwin
319,1,Rainbow bright lol
320,0,"4.94 is an impressive score, but does it keep you up at night wondering who the uber driver was who gave you less than 5 stars, ruining what could have been a perfect score?"
321,1,what else are you into? other than smoking and nail art
322,0,College ends too soon tho there’s so much to learn and do
323,1,?
324,1,So slippery.
325,0,all my friends who are boys have accounts but have like 1 photo on there
326,1,You make my heart skip a beet.
327,0,what have you been dancing in?
328,1,That pool looks refreshing but not as refreshing as you
329,1,Omg I so wish you were here
330,1,Me: We need to test this theory
331,0,I’m terrible with pickup lines haha
332,0,That’s almost worth going to the show purely to say you did
333,0,i figured
334,0,"That’s what I like to hear, mama didn’t raise no quitter 😂"
335,1,What do you want to know?
336,1,"well if it's your favourite record, why on earth wouldn't you own it...!"
337,1,you back on to me so I can finish the job
338,0,you have good playlists tho
339,0,"if you're friends with amy, do you know jeremy and mitch and crew?"
340,1,Lemme fuck ur life up
341,0,the best VW is the kombi or the beetle
342,0,um good
343,0,"i believe you, it takes practice to not colour outside the lines"
344,1,I am constantly horny
345,1,You look like sun today
346,0,"there's a strat in the corner, right?"
347,0,"lovely, i imagine it's very fulfilling"
348,0,Naisha is ranting let’s get her
349,1,What’s up Jenaya what’s your last played song on Spotify
350,0,I woke up to my roommates wanting to drink
351,1,Yeah I have a very high sex drive lol
352,0,you put the accent on cliché the wrong way haha
353,0,"how rude! i love my lanes, and degraves has cupcakes"
354,1,Yes please I wanna see those gorgeous eyes of yours
355,1,Giraffes are everyone’s favorite animal 😉
356,0,oh you're in print media?
357,0,is that a photo from palace theatre?
358,0,"um, i play the uke and i have a little semi acoustic that i mess around one"
359,1,Really take your time and enjoy it
360,1, your personality shines so bright its so captivating 
361,0,"not really, it's wordplay that some friends came up with a while ago"
362,1,do we...
363,1,Wbu?
364,0,"yeah, my friend is kind of obsessed with their 90s night"
365,1,God I want to fuck your mouth and pussy so badly
366,0,You have pretty much the only tinder bio I have been able to work with
367,0,have you been electrocuted yet?
368,0,1. Blonde/Channel Orange (tie) 2. Harry Styles 3. Ctrl by SZA 4. Pony by Rex Orange County
369,0,fitzroy also used to be a bit of an opium den
370,1,I’m troublemaker
371,1,My tits feel great. Firm. Bouncy. Very sensitive.
372,1,Tell me how you like to eat my pussy.
373,1,"clit, that we do it on the couch soaking wet"
374,0,But instead I just have to go about my life functionally blind
375,1,"Oh my god, I can feel it growing in my pussy"
376,1,I'd rather spend my time exploring the aisles of your heart.
377,1,I mean we will have to practice a few times first
378,0,Yet at the same time so sad
379,1,Could you please French kiss my sweet little pussy love?
380,1,Namely you.
381,1,do you want to get together sometime
382,1,I am going to be jerking off over this forever.
383,0,please don't tranquilise the asian elephant
384,1, Really? Like what? ;)
385,1,This is both a compliment but also makes me question my entire life
386,0,jack black?
387,1,NUT 😩
388,0,and besides you'd be made of some kind of alloy and be conductive...
389,1,mostly 🐶
390,0,I really liked marketing in high school then coming to UW got more into tech so combined em :) what got u into envi sci?
391,0,"Thursdays a bit tough for me but could you do Friday some time during the day,"
392,1,How can I make it up to you Natalie
393,0,"don't think so, i think she dropped out"
394,1,I was thinking we could get lost in each other's company.
395,0,I'm 50 percent irish does that help
396,1,Legs crossed and in the air.
397,0,It would have been except I had a radiator
398,0,Try me
399,0,"i'll be scathing but if it's on vinyl, it'll be less terrible"
400,1,Did you enjoy the sex book I land you
401,0,Damn always something
402,0,"hi, i'm pretty good how are you?"
403,1,If I'm wearing any
404,1,I want you to promise me one thing
405,0,I gotchu 👉👈
406,0,Haha drivers license for me too but most recently Dangerously in Love by Beyoncé
407,0,haha yeah i did that in first year for a bit
408,1,"thanks, are you named after a hipster essential nutrient?"
409,1,wallabies are cute tho
410,1,Chat 16
411,1,I did actually just never saw you boo
412,1,Best. Match. Ever.
413,1,Also we can finally reach the REALLY high shelves at Costco
414,0,Also you should try this instant coffee I bought it's the worst coffee I have ever had but it gets the job done
415,1,the green shot?
416,0,they're basically plays! aren't they?
417,1,That's how your going to feel when I spread your pussy with my tongue and make you come with my mouth
418,0,Dope what are you studying?
419,1,Do you know what the top thing I look for in a woman is?
420,0,what kind of air guitars?
421,1,I suppose we’ll have to break a couple rules then to accommodate
422,1,I think your ass is jealous of your pussy.
423,0,"science at melbourne, probably majoring in path"
424,1,How can you be 70 miles away but still live in my head?
425,0,the 4th dimension?
426,0,last semester i had a day off for the first time ever
427,1,"I am experienced in fish rearing, so would like to apply to coparent your fish. What is their name?"
428,1,First we lay on your bed.. And pull the comforters ;)
429,1,hey do you wanna hook up
430,0,"Electrical engineering and computer science at Berkeley, and then all those hobbies. How do you find the time?"
431,1,It’s okay we can just practice then
432,0,"Hahaha was the frat your only option? I would probably take anything over a frat. I lived in a sorority my sophomore year which was great, both for meeting girls and living in a clean and peaceful space."
433,1," Aghhh I'm sooo wet ;) Baby, go down on meee. Puhlease.. Eat me out"
434,1,Hey Sofia 👋
435,0,Ofc is that even a question
436,0,But a vibe for sure
437,0,haha what about you? other than 2 door
438,0,"many, many cruisers"
439,0,Also how was I doppelgänger I was troublemaker 😂😂😂
440,0,life in film's pretty under the radar but they're my favourite
441,1,haha yes
442,1,Oh yeah? What am I doing?
443,1,there wasn't a pun anywhere up there 😸
444,0,Ended up having to go at least 3 times
445,1,Look who’s tryna slide in
446,0,looks a little worse for wear
447,0,Haha. Yeah. I was tired today too but out of boredom.
448,0,Ah I feel that. I can go for quite some time but that bit of alone time is so crucial haha
449,1,My pussy is tight and can take a lot of pain
450,1,"please cum for me, cum for your love"
451,0,"and if it all pans out, med school after i graduate"
452,1,(I send picture of Rainbow Brite)
453,1,"and id curl my middle finger up, gently pressing on your g spot"
454,1,"Me: I’m headed to a pt’s right now. Where you at hon? (As you can see before I even think about how to start sexting, I figure out if we can meet up first ;))"
455,1,i want to slowly spread your legs wide and kiss down the inside of your thighs
456,0,*illusion
457,0,"not much, wbu?"
458,0,do you like lecturing?
459,1,That’s a cute little pussy I may have to spank you for being so bad and not wearing panties
460,1,Lmao this is mine don’t make fun of the cover picture 😂
461,0,it showed up as a black square
462,1,just curious what it is
463,0,no it's like fruity
464,0,It makes concerts really nice ofc
465,0,Indeed
466,1,Your eyes again..
467,1,austrian porn
468,0,"i don't know what's happening then, i end up being on barbequing duty O.O"
469,1,I feel as if weve matched before
470,1,It’s good to be bad sometimes 😉
471,1,I have a fat ass too believe it or not. What if we had a kid
472,0,morbid obesity?
473,0,If u can match ofc
474,1,Are you sure about that
475,0,Do I have the job?
476,1,"good, how r u?"
477,1,"Your handwriting is so beautiful, can I just watch you write instead?"
478,1,i think they're kind of cool but lung cancer 🙊
479,1,I need to tell my family 🤫
480,0,haha yeah i saw a youtube video of it before i bought it so no surprises there
481,1,taco truck is the best
482,1,Hey Jennie you tryna link?
483,1,Hey avisha you tryna link?
484,1,Finger yourself until you want more
485,0,I would say 5 as well. I am pretty happy about the election and like it a lot in CA (just moved here). But obviously life is pretty boring haha
486,0,You continue to impress
487,0,jack white's lazaretto my god
488,1,Daddy? Let’s go
489,1,"If I make it there I’ll know exactly who to text 😉 come to Seattle and you’ll have free room, board, and breakfast"
490,1,"Your tounge plunging In my mouth""..Your legs are crossed over my back... Pulling me in.."
491,1,"Honesty, another thing I respect. Maybe I'll just pay the dowry in full"
492,0,and there's better coffee
493,0,I’m a marketing and Information systems double major haha going into more of a data role hopefully after graduating
494,1,do you want to grab a drink
495,0,crayon factory? they have those in melbourne?
496,1,What’s the worst and best lines you’ve heard on Tinder
497,0,I’m hiring a lit DJ
498,1,Dope so if we get married I can get free drugs in 10 years
499,1,Because I'm gonna tease the hell out of you before I let you cum all over my face
500,1,Hey 🥴
501,0,"a friend of mine is like that, and ironically his name is also josh..."
502,1,❤️
503,0,Being a nanny plus class sounds like a lot haha - I struggled with class alone in college
504,1,👍
505,1,"Well then I think you need to let them know you got to pull over real quick to use the restroom (So here I know I wasn’t being realistic but I HAD to continue the dominance theme, not just because it was the right move but because I was FEELING it.)"
506,0,but we'll see how that pans out
507,1,I wish you were here to rub my temples and make me feel better.
508,1,"I'm excited to see my friend, but I would be even more excited if I could share a meal with you instead."
509,1,I want to touch u
510,1,so do i
511,0,uni's kind of a time consuming activity
512,0,Oh yah same
513,1,hey are u out tonight?
514,1,"I'll tie you up to the bed and get on top of you after eating you out and be so rough and passionate, you'll be itching to get out of those handcuffs so you can ride me till kingdom cum"
515,0,So which one?
516,0,Exactly I’ve already got a leg up on everyone else
517,0,it's wearing the same outfit as your photo
518,1,Be the peach to my Mario
519,1,As I'm lightly touching your clit..
520,0,"Frank was at the top of my Spotify wrapped, I was v proud"
521,0,If you drop yours one day I’ll make sure to let you know
522,1,In your heart ❤️
523,0,So you go to Wazzu are you back over towards the west for quarantine?
524,0,Oh shit it’s in ur bio I’m stupid lol
525,1,I want to dominate you and make you mine ;)
526,1,And you can suck on me hard until we cum
527,1,  I wish I could go to the farmers market with you and pick
528,0,"haha no, what about the national?"
529,1,Until I scream
530,0,"Oh no, what sorts of messages are you getting?"
531,0,I lived in perkins last year and I remember people throwing out q bunch of shit
532,0,you put a disclaimer in your about me section
533,1,It’ll be perfect for concerts and reaching the REALLY high shelves at Costco
534,1, your compassion for others is so beautiful its so attractive 
535,0,"i don't think you'll get to wrestle my dog, she's not very good at playing games"
536,0,yeah impulse buy in year 12
537,0,"melbourne's good, haha i've never been to any other unis tho, 
3rd year"
538,0,"not much, going into uni to tutor for vcess"
539,0,jack white lazaretto
540,0,It only took 4 months 😂😂
541,0,i used to go there all the time like when i was in high school
542,1,"haha, formal date one year"
543,0,i just can't really do it on a regular basis
544,1,Yeah I'd love to :)
545,0,ha yeah it's really quite distasteful
546,0,HER is so good too ah
547,1,Awesome. May I feel them?
548,1,U tryna meet up?
549,1,I want to be shaking
550,0,"not anything remotely related to engineering or maths tho, thankfully"
551,1,"When you have a free moment, slip away and show me you pretty little tits"
552,0,punk is gooooood
553,0,everyone asks me about it...
554,0,haha you're on a phone tho aren't you?
555,1,"Hey Ella, you have a great smile!"
556,1,arts student?
557,1,"fingers, just a nibble"
558,1,What’s the first concert you will ride my shoulders for?
559,0,If I rememberrrr correctly I wanna say it was Health! Haha I could be wrong tho
560,0,so many people have taken up hatchet job photoshopping on tinder
561,1, I wish I could just lay down with you and rest my head on your chest    
562,1,Huh who is this
563,0,diabetes
564,1,that makes me want to even more
565,1, your attentiveness is a rare gem it makes me feel so special 
566,0,Super clean Vol 2 going straight to the queue haha
567,1,I want to fuck you hottie
568,0,Goes out *
569,0,Haha same thank u too! Night
570,0,If we lose at pong is that grounds for divorce?
571,1,I wish I could take a break from work and spend some time with you instead    
572,1,please cum in my mouth
573,0,"it's only a seasonal thing, good fun and such"
574,0,Ugh Covid really fucking up our last time at UW 😕 yep haha I’m set to graduate in March
575,0,anyway
576,0,he's even done one with flower petals stuck in the middle
577,1,What are u seeing? ;)
578,1,With JUST my panties on ;)
579,1,"I'm not looking to date anyone else right now, but I can't help feeling drawn to you."
580,1,Haha send me your addy and we’ll meet tho
581,0,i listen mostly to indie rock of the british variety
582,1,Then I find something hard.. Hard like a pole... Mhmmm
583,1,Fuck I want that so bad
584,0,a friend of mine is kind of obsessed with their 90s night
585,0,Just followed back haha. I’m boutta sleep talk tmrw tho 2034 beer pong champ
586,0,"no, it shall go about unnamed for now"
587,1,I want you to fuck my mouth thrusting your hard cock down my throat and making my pussy sloppy wet while you fuck me with my wand and the fun extension.
588,0,but holidays right?
589,1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
590,0,Ya know sometimes you just gotta humble yourself
591,1,I can’t believe you talked me into this!!!!!!
592,0,what about you?
593,0,haha why not
594,0,That’s pretty intense Kyle levels right there
595,1,Can he join us on our first date
596,1,Indeed
597,1, I will cum
598,0,Snapchat: tronvaughn
599,1,(I send a dick pic lol)
600,1,I would rather taste your lips than any spicy dish.
601,0,pierogis
602,0,"that's why i don't do relationships in semester, it fucks with your head too much."
603,0,what are you doing in melbourne?
604,1,Yeah you got me all riled up
605,0,That sounds way better than what I put 😂 sushi is so good ah
606,1,Awe thanks Kye 🥴 ur 🔥
607,1,you look stunning today
608,0,Damn Graham
609,1,In your little fantasy
610,0,Is this graded on a curve or is 6/10 still failing?
611,0,"I think I can work with that, but where will we park the horses we take to work?"
612,1,Harder
613,0,how did you get into dance?
614,1,FLOAT ON
615,1,Over and over and over
616,1,<knees melting>
617,0,It’s faster to get down the hallway
618,0,"i have to sleep, i'll ttyl"
619,1,Will you be naked?
620,0,haha isn't that what interning is?
621,0,or cancer
622,0,"indie rock and indie pop, mostly"
623,0,lol well i'm not particularly fond of the institution of marriage in the first place
624,0,i figured you did
625,1,Why are the good ones always 500 miles away?
626,1,Will I at least have free room and board at your place when I come?
627,0,What sort of stuff do you like to do in Berkeley? With the quarantine and all I havent had much chance to explore
628,1,Or at least a date or something
629,0,i went with a friend who just went for the canned ice cream
630,0,tooth decay
631,1,Send me your best pickup line
632,1,which organs have you donated?
633,0,you decided to jump?
634,0,I proved I’m insomnia
635,1,🐩🐩🐩🐩🐩🐩🐩
636,1,😍😍😍😍 best match EVER
637,1,<attached image>
638,1,What’s your snap?
639,1,nice mug ☕️
640,1,"Perfect, but like if we stay married I’m cool with that too"
641,1,You are my greatest news of the morning
642,1,I would love to go grocery shopping with you and cook a delicious meal together    
643,0,i am far too uncoordinated for that
644,0,i probably petted you when i was at the show
645,1,Boy band connoisseur 🥴
646,1,Check if you’re wet. Slide your right index finger into your pussy crack.
647,0,It’ll be the best selling movie ever
648,1,Then I want you to sit on me while I eat you out
649,0,today wasn't even that warm
650,0,yeah
651,0,It's extremely important for dental health
652,0,Official services not that I know of
653,0,Just voted today!  FDT lmao fingers crossed for Nov 3
654,1,I can imagine ;) I bet u look fine.
655,0,They are also divorced lol
656,0,there's a way you can take nurofen and panadol alternately to maintain enough painkillers in your system
657,0,"yeah it was alright, wbu?"
658,0,My yodel is probably meager compared to yours but I’m all for 1 am yodel sessions ofc
659,1,Me too.
660,1,You’re too nice 🥰 what tattoos do u have?
661,0,why do you cry at night?
662,1,"Can I taste please? Just a drop, I have so much to spare."
663,0,"ew no, i'm not really into apps that offer the delusion of privacy"
664,0,free alcohol is the best kind
665,1,I can't wait to pick you up from the couch and take you to the kitchen counter and pleasure you and then pick you back up and pin you up against the kitchen wall and continue
666,1,I would love to take you to see a play with me and share the experience together.
667,1,And grab my neck pulling me in for more kisses
668,0,i know the laneways quite well
669,1,"Bet, 2 lokos each. Dealbreaker tho, which flavors are u choosing?"
670,1,I'd love to
671,1,God I hope you're hard right now
672,0,2 matches in 1 what a bargain
673,1,  theres something mysterious and intriguing about you that i cant resist 
674,1,Are you my homework? Cause I’m not doing you but I definitely should be
